#time	Mode	Power	Hset	Hac	Tset[C]	Tac[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]
1558000181.1386833	normal	1	nan	nan	80.0	79.5	1312.935	81.0480000555799	1313.52	81.2066311666108	1313.811	81.28188529687031	1310.852	80.50189562137575	1313.921	81.30994215574492	1284.231	73.55177372562866	1298.074	77.15960549292004	1303.611	78.61914702479044	1291.225	75.37377906254642	1284.844	73.71056706826084
1558000196.715251	normal	1	nan	nan	80.0	79.6	1313.383	81.16939805292623	1313.997	81.32698615892377	1314.303	81.4048652673614	1311.337	80.6353328319492	1314.459	81.44787001040459	1289.464	74.91654755461104	1301.405	78.04043939566782	1306.087	79.26451693879335	1295.18	76.4075604771574	1290.32	75.1439776150387
1558000212.283586	normal	1	nan	nan	80.0	79.7	1313.748	81.26457931643836	1314.318	81.41299416955962	1314.615	81.48825302534988	1311.724	80.73547983688559	1314.699	81.51604941488131	1293.964	76.08945944691777	1304.138	78.75460394003767	1308.103	79.7876136566897	1298.413	77.24707592351433	1294.771	76.30178520039544
1558000227.852714	normal	1	nan	nan	80.0	79.8	1314.233	81.39385194806937	1314.872	81.56298913471846	1315.187	81.64139831854527	1312.216	80.86473165957796	1315.512	81.72898804716488	1297.525	77.02185737303125	1306.498	79.36933927362406	1309.994	80.279075418503	1301.096	77.95740097648923	1298.485	77.27640784596679
1558000243.422554	normal	1	nan	nan	80.0	79.9	1314.619	81.48720410959368	1315.313	81.68021024556947	1315.547	81.73947799156804	1312.577	80.95728223328888	1315.762	81.79297722891079	1300.525	77.80547490938989	1308.336	79.8473714836673	1311.344	80.6408382163172	1303.341	78.53792795197569	1301.564	78.07449361209137
1558000258.9906125	normal	1	nan	nan	80.0	80.0	1314.731	81.52076957985173	1315.487	81.72295634429656	1315.672	81.76308048890951	1312.677	80.97747066499778	1315.67	81.76648975253784	1303.031	78.4616886471481	1309.894	80.24578475555245	1312.406	80.91926539330461	1305.185	79.03025109839518	1303.967	78.7050842273934
1558000274.559561	normal	1	nan	nan	80.0	80.1	1315.025	81.60153789765945	1315.894	81.82916838337133	1316.108	81.88738977259754	1313.128	81.10096364125957	1316.186	81.8991915312954	1305.07	78.99487683441794	1311.145	80.58290106193226	1313.389	81.17516653588427	1306.758	79.43144808339548	1306.036	79.2519384831412
1558000290.129571	normal	1	nan	nan	80.0	80.2	1315.244	81.65582161628208	1316.115	81.88660299019193	1316.223	81.91466501247442	1313.338	81.1515682605177	1316.119	81.88738977259754	1306.786	79.4403583042199	1312.126	80.838513840416	1314.103	81.363958838891	1308.043	79.7692671733289	1307.653	79.67386710998699
1558000305.6981366	normal	1	nan	nan	80.0	80.2	1315.204	81.64664314676111	1316.115	81.88607846869218	1316.155	81.89604439149798	1313.328	81.15366587813378	1315.64	81.74865672038959	1308.187	79.81408519166462	1312.866	81.03331723243036	1314.547	81.47435491874921	1309.108	80.04526151492428	1308.997	80.02088501354956
1558000321.267489	normal	1	nan	nan	80.0	80.2	1315.126	81.62513940427152	1316.153	81.89315951599838	1316.128	81.88896333797538	1313.397	81.17516653588427	1315.565	81.736593253519	1309.36	80.11367395190246	1313.476	81.19430748369041	1314.866	81.55984231689081	1309.972	80.27435703632136	1310.094	80.31079360782905
